dataset,nodes,edges,source,target,tau,tau_mode,baseline_cost,baseline_prob,baseline_nodes_explored,baseline_edges_examined,baseline_edges_relaxed,baseline_ms,pruned_cost,pruned_prob,pruned_nodes_explored,pruned_edges_examined,pruned_edges_relaxed,pruned_ms,path_found,speedup,optimality_gap_pct
RetailRocket-event,3,9,addtocart,view,0.169559320808,adaptive,0.57058,0.5651977360,2,3,3,0.003,0.57058,0.5651977360,2,3,3,0.003,True,1.13,0.0
RetailRocket-event,3,9,addtocart,view,0.282598868013,adaptive,0.57058,0.5651977360,2,3,3,0.003,0.57058,0.5651977360,2,3,1,0.003,True,1.26,0.0
RetailRocket-event,3,9,addtocart,view,0.395638415219,adaptive,0.57058,0.5651977360,2,3,3,0.003,0.57058,0.5651977360,2,3,1,0.003,True,1.26,0.0
RetailRocket-event,3,9,addtocart,view,0.508677962424,adaptive,0.57058,0.5651977360,2,3,3,0.003,0.57058,0.5651977360,2,3,1,0.002,True,1.36,0.0
RetailRocket-event,3,9,addtocart,view,0.536937849225,adaptive,0.57058,0.5651977360,2,3,3,0.003,0.57058,0.5651977360,2,3,1,0.003,True,1.31,0.0
RetailRocket-event,3,9,addtocart,view,0.559545758666,adaptive,0.57058,0.5651977360,2,3,3,0.003,0.57058,0.5651977360,2,3,1,0.003,True,1.31,0.0
RetailRocket-event,3,9,addtocart,view,0.565197736026,adaptive,0.57058,0.5651977360,2,3,3,0.003,0.57058,0.5651977360,2,3,1,0.002,True,1.36,0.0
RetailRocket-event,3,9,addtocart,view,0.621717509629,adaptive,0.57058,0.5651977360,2,3,3,0.003,,,1,3,0,0.002,False,1.55,
RetailRocket-event,3,9,view,addtocart,0.0001,fixed,3.201565,0.0406984484,2,3,3,0.003,3.201565,0.0406984484,2,3,3,0.003,True,1.06,0.0
RetailRocket-event,3,9,view,addtocart,0.001,fixed,3.201565,0.0406984484,2,3,3,0.003,3.201565,0.0406984484,2,3,3,0.003,True,1.0,0.0
RetailRocket-event,3,9,view,addtocart,0.01,fixed,3.201565,0.0406984484,2,3,3,0.003,3.201565,0.0406984484,2,3,2,0.003,True,1.18,0.0
RetailRocket-event,3,9,view,addtocart,0.1,fixed,3.201565,0.0406984484,2,3,3,0.003,,,1,3,1,0.002,False,1.38,
RetailRocket-event,3,9,view,addtocart,0.5,fixed,3.201565,0.0406984484,2,3,3,0.003,,,1,3,1,0.002,False,1.32,
RetailRocket-event,3,9,view,addtocart,0.00406984484,adaptive,3.201565,0.0406984484,2,3,3,0.003,3.201565,0.0406984484,2,3,2,0.003,True,1.18,0.0
RetailRocket-event,3,9,view,addtocart,0.012209534519,adaptive,3.201565,0.0406984484,2,3,3,0.003,3.201565,0.0406984484,2,3,2,0.003,True,1.22,0.0
RetailRocket-event,3,9,view,addtocart,0.020349224199,adaptive,3.201565,0.0406984484,2,3,3,0.003,3.201565,0.0406984484,2,3,2,0.003,True,1.27,0.0
RetailRocket-event,3,9,view,addtocart,0.028488913878,adaptive,3.201565,0.0406984484,2,3,3,0.003,3.201565,0.0406984484,2,3,2,0.003,True,1.22,0.0
